YEAR,S.No,STATE,DISTRICT,RR_C,RR_C_NC,RR_PQ,RR_Tot,TGA_C,TGA_C_NC,TGA_PQ,TGA_Tot,TGA,TGA_Tot.1,GWR_RR_C,GWR_RR_C_NC,GWR_RR_PQ,GWR_RR_Tot,GWR_CI_C,GWR_CI_C_NC,GWR_CI_PQ,GWR_CI_Tot,GWR_SWI_IRR_C,GWR_SWI_IRR_C_NC,GWR_SWI_IRR_PQ,GWR_SWI_IRR_Tot,GWR_GWI_IRR_C,GWR_GWI_IRR_C_NC,GWR_GWI_IRR_PQ,GWR_GWI_IRR_Tot,GWR_TP_C,GWR_TP_C_NC,GWR_TP_PQ,GWR_TP_Tot,GWR_WCS_C,GWR_WCS_C_NC,GWR_WCS_PQ,GWR_WCS_Tot,GWR_PL_C,GWR_PL_C_NC,GWR_PL_PQ,GWR_PL_Tot,GWR_SF_C,GWR_SF_C_NC,GWR_SF_PQ,GWR_SF_Tot,GWR_C,GWR_C_NC,GWR_PQ,GWR_Tot,IFO_BF_C,IFO_BF_C_NC,IFO_BF_PQ,IFO_BF_Tot,IFO_SR_C,IFO_SR_C_NC,IFO_SR_PQ,IFO_SR_Tot,IFO_LF_C,IFO_LF_C_NC,IFO_LF_PQ,IFO_LF_Tot,IFO_VF_C,IFO_VF_C_NC,IFO_VF_PQ,IFO_VF_Tot,IFO_EV_C,IFO_EV_C_NC,IFO_EV_PQ,IFO_EV_Tot,IFO_TR_C,IFO_TR_C_NC,IFO_TR_PQ,IFO_TR_Tot,IFO_ET_C,IFO_ET_C_NC,IFO_ET_PQ,IFO_ET_Tot,IFO_C,IFO_C_NC,IFO_PQ,IFO_Tot,AGR_C,AGR_C_NC,AGR_PQ,AGR_Tot,EFR_C,EFR_C_NC,EFR_PQ,EFR_Tot,AER_C,AER_C_NC,AER_PQ,AER_Tot,GWE_DOM_C,GWE_DOM_C_NC,GWE_DOM_PQ,GWE_DOM_Tot,GWE_IND_C,GWE_IND_C_NC,GWE_IND_PQ,GWE_IND_Tot,GWE_IRR_C,GWE_IRR_C_NC,GWE_IRR_PQ,GWE_IRR_Tot,GWE_C,GWE_C_NC,GWE_PQ,GWE_Tot,GWE_C.1,GWE_C_NC.1,GWE_PQ.1,GWE_Tot.1,DOM_DOM_C,DOM_DOM_C_NC,DOM_DOM_PQ,DOM_DOM_Tot,NAG_C,NAG_C_NC,NAG_PQ,NAG_Tot,QT_MP_C,QT_MP_C_NC,QT_MP_PQ,QT_OP_C,QT_OP_C_NC,QT_OP_PQ,APR_WL,APR_FP,APR_SD,CSA_C,CSA_C_NC,CSA_PQ,CSA_Tot,UCA_FR,UCA_SL,UCA_FR.1,UCA_SL.1,CFA_FR,CFA_SL,CFA_FR.1,CFA_SL.1,CFA_FR.2,CFA_SL.2,CFA_FR.3,CFA_SL.3,CFA_FR.4,CFA_SL.4,CFA_FR.5,CFA_SL.5,TGAH_FR,TGAH_SL
2021-2022,1,ANDAMAN AND NICOBAR ISLANDS,N & M ANDAMAN,NA,3015.699999999999,NA,3015.6999999999994,NA,58040.0,NA,58040.0,286106.0,344146.0,NA,16376.359999999999,NA,16376.359999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.63,NA,12.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16388.99,NA,16388.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16388.99,NA,16388.99,NA,1638.9,NA,1638.9,NA,14750.089999999998,NA,14750.089999999998,NA,251.32896249999996,NA,251.32896249999996,NA,83.03693234600001,NA,83.03693234600001,NA,0.804,NA,0.804,NA,335.17,NA,335.17,NA,2.2723251180162296,NA,2.2723251180162296,NA,269.19,NA,269.19,NA,14397.060000000001,NA,14397.060000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14750.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14750.09,NA
2021-2022,2,ANDAMAN AND NICOBAR ISLANDS,NICOBAR,NA,2805.2,2805.2000000000003,2805.2000000000003,NA,121615.0,828.0,122443.0,71723.0,194166.0,NA,34663.16,348.4,35011.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34664.159999999996,348.4,35012.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34664.159999999996,348.4,35012.56,NA,3466.4100000000003,34.84,3501.2500000000005,NA,31197.749999999996,313.56,31511.309999999998,NA,84.672335,3.023295,87.69563000000001,NA,0.9433643835616439,NA,0.9433643835616439,NA,0.253,NA,0.253,NA,85.84,3.0300000000000002,88.87,NA,0.27514804753547933,0.9663222349789514,0.27514804753547933,NA,90.68,NA,93.92,NA,31105.91,313.55,31105.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56008.0,NA,87205.75000000001,313.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87205.75000000001,313.56
2021-2022,3,ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMAN,NA,3015.7,NA,3015.7000000000003,NA,31524.0,NA,31524.0,215659.81,247183.81,NA,10777.26,NA,10777.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.510000000000002,NA,12.510000000000002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10789.77,NA,10789.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10789.77,NA,10789.77,NA,1078.9699999999998,NA,1078.9699999999998,NA,9710.8,NA,9710.8,NA,309.63278499999996,NA,309.63278499999996,NA,13.543,NA,13.543,NA,10.647,NA,10.647,NA,333.79999999999995,NA,333.79999999999995,NA,3.437409894138485,NA,3.437409894138485,NA,331.62000000000006,NA,331.62000000000006,NA,9355.019999999999,NA,9355.019999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1045.0,NA,10755.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10755.8,NA
2021-2022,4,ANDHRA PRADESH,Alluri Sitharama Raju,NA,1310.5620660516975,NA,1310.5620660516975,NA,639234.6759947998,NA,639234.6759947998,586107.7108381618,1225342.3868329613,NA,46524.04999999999,NA,46524.04999999999,NA,NA,NA,NA,NA,1231.7300000000002,NA,1231.7300000000002,NA,9.34,NA,9.34,NA,68.13,NA,68.13,NA,3170.2019999999993,NA,3170.2019999999993,NA,NA,NA,NA,NA,NA,NA,NA,NA,51002.979999999996,NA,51002.979999999996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51002.979999999996,NA,51002.979999999996,NA,2550.3,NA,2550.3,NA,48452.67999999999,NA,48452.67999999999,NA,1598.2630920000001,NA,1598.2630920000001,NA,NA,NA,NA,NA,577.94,NA,577.94,NA,2177.11,NA,2177.11,NA,4.49327054767662,NA,4.49327054767662,NA,1810.5600000000002,NA,1810.5600000000002,NA,46338.219999999994,NA,46338.219999999994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48452.67999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48452.67999999999,NA
2021-2022,5,ANDHRA PRADESH,Anakapalli,1186.254184586108,1167.7705700847148,NA,1170.582267406364,52550.0,292904.65992,NA,345454.65992,83681.41,429136.06992,6193.750000000001,31363.489999999998,NA,37557.24,1822.79,NA,15.18,1837.9699999999998,7505.169999999999,18556.479999999996,NA,26061.649999999998,861.4700000000001,3151.9900000000002,NA,4013.4600000000005,369.17999999999995,1754.9499999999996,NA,2124.1299999999997,336.0,3963.558000000001,NA,4299.558000000002,NA,NA,NA,NA,NA,NA,NA,NA,17101.550000000003,58790.63,15.18,75907.36000000002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17101.550000000003,58790.63,15.18,75907.36000000002,855.0899999999999,2939.5400000000004,0.76,3795.3900000000003,16246.460000000003,55851.09000000001,14.42,72111.97,879.444108,4049.622828,NA,4929.066935999999,31.896,432.9894,NA,464.8854,3005.6002801000004,11231.655157699997,NA,14237.2554378,3916.97,15714.14,NA,19631.11,24.109682970936433,28.135780340186727,NA,27.228539666049677,1062.3700000000001,4891.830000000001,NA,5954.200000000001,12243.75,39650.57,14.42,51894.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1212836.39,NA,1284933.93,14.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1284933.93,14.42
2021-2022,6,ANDHRA PRADESH,Ananthapuramu,513.726716720963,515.4758717065273,NA,515.0271560668946,242803.0,703676.3300000001,NA,946479.3300000001,97831.67,1044311.0,10656.860000000002,31727.760000000002,NA,42384.62,3375.71,NA,NA,3375.71,8972.890000000003,1035.32,NA,10008.210000000003,2761.2200000000003,4903.509999999999,NA,7664.7300000000005,883.8300000000002,4118.03,NA,5001.86,9092.078,37760.098,NA,46852.176,NA,NA,NA,NA,NA,NA,NA,NA,35742.51,79544.79000000001,NA,115287.29999999997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35742.51,79544.79000000001,NA,115287.29999999997,1787.1699999999998,3977.3500000000004,NA,5764.52,33955.34,75567.44,NA,109522.78,1506.2701679999998,4730.724324,NA,6236.994491999999,61.2,454.392,NA,515.592,10803.0061642,24027.822411200003,NA,34830.82857540001,12370.450000000003,29213.010000000006,NA,41583.46,36.43153035722806,38.6581972341527,NA,37.967863854441966,1829.8900000000003,5156.2699999999995,NA,6986.159999999999,21355.0,46608.90999999999,NA,67963.90999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109522.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109522.78,NA
2021-2022,7,ANDHRA PRADESH,Annamayya,767.9182942806979,741.0299248579678,NA,745.563688839196,112199.0,553219.0,NA,665418.0,129721.0,795139.0,7586.48,40277.7,NA,47864.18000000001,28.889999999999997,NA,NA,28.889999999999997,411.57000000000005,2154.9599999999996,NA,2566.5300000000007,1532.3100000000002,10811.66,NA,12343.970000000001,1596.1299999999999,6309.330000000001,NA,7905.460000000001,2321.946,18875.075999999997,NA,21197.021999999997,NA,NA,NA,NA,NA,NA,NA,NA,13477.320000000002,78428.86,NA,91906.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13477.320000000002,78428.86,NA,91906.18,673.8899999999999,3921.759999999999,NA,4595.639999999999,12803.429999999998,74507.09999999999,NA,87310.52999999998,584.34,2468.70837,NA,3053.048369999999,15.784000000000002,20.46,NA,36.24399999999999,5169.5623000000005,36550.6983,NA,41720.2606,5769.68,39039.74,NA,44809.42000000002,45.063549377002886,52.397341998279366,NA,51.32189668302326,584.34,3747.0499999999997,NA,4331.39,7033.75,34369.520000000004,NA,41403.270000000004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87310.52999999998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87310.52999999998,NA
2021-2022,8,ANDHRA PRADESH,Bapatla,894.7267975447967,924.7060543444571,963.7964970168524,917.7855023966242,242261.0,19358.0,118499.0,380118.0,2767.0,382885.0,22881.700000000004,2433.5299999999997,9819.34,35134.57,5854.35,NA,555.88,6410.230000000002,26012.010000000002,943.6800000000001,11887.4,38843.09,2266.47,37.58,NA,2304.05,373.58000000000004,5.63,1.7000000000000002,380.91,4417.497999999999,275.354,515.268,5208.119999999999,NA,NA,NA,NA,NA,NA,NA,NA,61805.63,3695.7800000000007,22779.66,88281.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61805.63,3695.7800000000007,22779.66,88281.07,3090.3800000000006,184.8,1139.0,4414.18,58715.25,3510.979999999999,21640.660000000003,83866.89,2528.6375099999996,127.13168999999999,192.254552,2848.0237519999996,55.2368,NA,NA,55.2368,10819.834828400002,140.45,NA,10960.2848284,13403.759999999998,267.59000000000003,192.25,13863.6,22.828413401969673,7.621518778232861,0.8883740144709079,21.970397371012194,2685.7100000000005,135.03,NA,3024.9700000000007,45325.229999999996,3235.49,21640.68,48560.719999999994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,694989.91,231950.13,757216.1299999999,253590.79000000004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,757216.1299999999,253590.79000000004
2021-2022,9,ANDHRA PRADESH,Chittoor,NA,905.9084598016899,NA,905.9084598016899,NA,601668.95,NA,601668.95,85448.05,687117.0,NA,60482.84,NA,60482.84,NA,NA,NA,NA,NA,2309.0099999999998,NA,2309.0099999999998,NA,13308.300000000001,NA,13308.300000000001,NA,7234.200000000001,NA,7234.200000000001,NA,11101.24,NA,11101.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,94435.49000000003,NA,94435.49000000003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94435.49000000003,NA,94435.49000000003,NA,4722.149999999999,NA,4722.149999999999,NA,89713.33999999998,NA,89713.33999999998,NA,4121.109792999999,NA,4121.109792999999,NA,1346.6221999999998,NA,1346.6221999999998,NA,45217.1726078,NA,45217.1726078,NA,50684.8,NA,50684.8,NA,56.49639172947971,NA,56.49639172947971,NA,5909.580000000001,NA,5909.580000000001,NA,39055.95,NA,39055.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3015969.4499999997,NA,3105682.7899999996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3105682.7899999996,NA
2021-2022,10,ANDHRA PRADESH,East Godavari,1071.5141163117153,1081.0493310259412,NA,1076.266626840097,127679.43216,126873.37999999999,NA,254552.81216,3081.9200000000005,257634.73215999999,13801.86,12856.240000000002,NA,26658.100000000002,14309.669999999998,NA,NA,14309.669999999998,33329.82,6555.74,NA,39885.55999999999,3683.7000000000003,2467.3900000000003,NA,6151.09,7970.709999999999,6418.14,NA,14388.850000000002,943.9760000000001,590.7680000000001,NA,1534.7440000000004,NA,NA,NA,NA,NA,NA,NA,NA,74039.85,28888.280000000002,NA,102928.11000000002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74039.85,28888.280000000002,NA,102928.11000000002,3701.9500000000003,1444.3700000000001,NA,5146.289999999999,70337.90000000001,27443.910000000003,NA,97781.81000000001,602.140719,1384.0307249999998,NA,1986.171444,708.5015999999999,258.6888,NA,967.1904000000001,13136.771317813767,13395.738999999998,NA,26532.510317813765,14447.42,15038.44,NA,29485.860000000004,20.540021809010504,54.79700232219097,NA,30.1547496410631,639.52,1470.0600000000002,NA,2109.58,55919.54999999999,13731.850000000002,NA,69651.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97781.81000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97781.81000000001,NA
