Year,S.No,STATE,DISTRICT,AER_Tot
2024-25,1,ANDAMAN AND NICOBAR ISLANDS,N & M ANDAMAN,14875.42
2024-25,2,ANDAMAN AND NICOBAR ISLANDS,NICOBAR,10224.69
2024-25,3,ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMAN,9717.96
2024-25,4,ARUNACHAL PRADESH,ANJAW,0
2024-25,5,ARUNACHAL PRADESH,CHANGLANG,27096.75
2024-25,6,ARUNACHAL PRADESH,DIBANG VALLEY,0
2024-25,7,ARUNACHAL PRADESH,EAST KAMENG,15809.36
2024-25,8,ARUNACHAL PRADESH,EAST SIANG,71985
2024-25,9,ARUNACHAL PRADESH,KURUNG KUMEY,0
2024-25,10,ARUNACHAL PRADESH,LOHIT,109376.97
2024-25,11,ARUNACHAL PRADESH,LOWER DIBANG VALLEY,71662.94
2024-25,12,ARUNACHAL PRADESH,LOWER SUBANSIRI,4485.54
2024-25,13,ARUNACHAL PRADESH,PAPUM PARE,9593.23
2024-25,14,ARUNACHAL PRADESH,TAWANG,0
2024-25,15,ARUNACHAL PRADESH,TIRAP,7802.07
2024-25,16,ARUNACHAL PRADESH,UPPER SIANG,0
2024-25,17,ARUNACHAL PRADESH,UPPER SUBANSIRI,2429.81
2024-25,18,ARUNACHAL PRADESH,WEST KAMENG,3017.04
2024-25,19,ARUNACHAL PRADESH,WEST SIANG,5579.64
2024-25,20,ASSAM,BAKSA,124570.51
2024-25,21,ASSAM,BARPETA,84134.02
2024-25,22,ASSAM,BONGAIGAON,45184.03
2024-25,23,ASSAM,CACHAR,45780.28
2024-25,24,ASSAM,CHIRANG,82094.02
2024-25,25,ASSAM,DARRANG,49403.59
2024-25,26,ASSAM,DHEMAJI,90320.29
2024-25,27,ASSAM,DHUBRI,89765.61
2024-25,28,ASSAM,DIBRUGARH,118196.86
2024-25,29,ASSAM,DIMA HASAO,56590.29
2024-25,30,ASSAM,GOALPARA,53393.2
2024-25,31,ASSAM,GOLAGHAT,99320.89
2024-25,32,ASSAM,HAILAKANDI,23098.97
2024-25,33,ASSAM,JORHAT,64756.14
2024-25,34,ASSAM,KAMRUP,78093.38
2024-25,35,ASSAM,KAMRUP (M),15408.39
2024-25,36,ASSAM,KARBI ANGLONG,117755.33
2024-25,37,ASSAM,KARIMGANJ,35753.18
2024-25,38,ASSAM,KOKRAJHAR,145008.5
2024-25,39,ASSAM,LAKHIMPUR,73091.06
2024-25,40,ASSAM,MORIGAON,37438.5
2024-25,41,ASSAM,NAGAON,113614.14
2024-25,42,ASSAM,NALBARI,33836.29
2024-25,43,ASSAM,SIBSAGAR,88201.34
2024-25,44,ASSAM,SONITPUR,137144.56
2024-25,45,ASSAM,TINSUKIA,114753.5
2024-25,46,ASSAM,UDALGURI,47710.65
2024-25,47,BIHAR,ARARIA,141181.71
2024-25,48,BIHAR,ARWAL,19075.19
2024-25,49,BIHAR,AURANGABAD,118753.71
2024-25,50,BIHAR,BANKA,65462.86
2024-25,51,BIHAR,BEGUSARAI,50653.36
2024-25,52,BIHAR,BHAGALPUR,72112.64
2024-25,53,BIHAR,BHOJPUR,80491.84
2024-25,54,BIHAR,BUXAR,58367.22
2024-25,55,BIHAR,DARBHANGA,70422.18
2024-25,56,BIHAR,EAST CHAMPARAN,176663.17
2024-25,57,BIHAR,GAYA,121604.75
2024-25,58,BIHAR,GOPALGANJ,95682.65
2024-25,59,BIHAR,JAMUI,45012.36
2024-25,60,BIHAR,JEHANABAD,31147.61
2024-25,61,BIHAR,KAIMUR,74653.62
2024-25,62,BIHAR,KATIHAR,109422.24
2024-25,63,BIHAR,KHAGARIA,44158.22
2024-25,64,BIHAR,KISHANGANJ,62664.8
2024-25,65,BIHAR,LAKHISARAI,38763.27
2024-25,66,BIHAR,MADHEPURA,98038.44
2024-25,67,BIHAR,MADHUBANI,130736.8
2024-25,68,BIHAR,MUNGER,37833.57
2024-25,69,BIHAR,MUZAFFARPUR,111162.45
2024-25,70,BIHAR,NALANDA,62276.36
2024-25,71,BIHAR,NAWADA,65961.42
2024-25,72,BIHAR,PATNA,98029.81
2024-25,73,BIHAR,PURNEA,153922.23
2024-25,74,BIHAR,ROHTAS,114671.24
2024-25,75,BIHAR,SAHARSA,63348.59
2024-25,76,BIHAR,SAMASTIPUR,79958
2024-25,77,BIHAR,SARAN,100795.6
2024-25,78,BIHAR,SHEIKHPURA,16973.15
2024-25,79,BIHAR,SHEOHAR,16443.37
2024-25,80,BIHAR,SITAMARHI,65866.83
2024-25,81,BIHAR,SIWAN,96578.65
2024-25,82,BIHAR,SUPAUL,101447.59
