STATE,Rainfall (mm),Annual Extractable Ground Water Resources (ham),Ground Water Extraction (ham)
ANDAMAN AND NICOBAR ISLANDS,2952.91,34504.51,782.68
ANDHRA PRADESH,891.99,2506336.31,788386.79
ARUNACHAL PRADESH,3318.78,328838.35,1343.76
ASSAM,2362.11,2064417.52,293141.2
BIHAR,1202.46,3132096.73,1446952.87
CHANDIGARH,1009.8,4786.58,3206.89
CHHATTISGARH,1338.43,1306865.95,629687.38
DADRA AND NAGAR HAVELI,2265.7,9095.78,3178.65
DAMAN AND DIU,1709.1,2587.31,1546.58
DELHI,652,34557.15,31828.23
GOA,3355.27,30501.34,7105.34
GUJARAT,855.95,2560669.44,1437049.72
HARYANA,486.28,930112.81,1271939.84
HIMACHAL PRADESH,1496.1,4951.5,2218.28
JAMMU AND KASHMIR,1180.19,207454.17,51310.54
JHARKHAND,1306.33,562753.75,184771.7
KARNATAKA,1035.07,1741410.74,1157913.84
KERALA,2800.1,493412.17,246445.65
LADAKH,69.36,6067.7,1876.88
LAKSHDWEEP,1832.63,582.89,336.85
MADHYA PRADESH,1082.12,3414882.36,2025793.92
MAHARASHTRA,1039.98,3210458.41,1681918.51
MANIPUR,1731.87,39756.25,3615.65
MEGHALAYA,3074.77,153539.44,8041.62
MIZORAM,2091.39,18954.61,763.95
NAGALAND,1768.17,50292.56,2376.14
ODISHA,1419.2,1602303.11,781104.76
PUDUCHERRY,1247.39,17439.62,13251.37
PUNJAB,579.67,1679943.44,2626761.47
RAJASTHAN,477.06,1162168.28,1709620.08
SIKKIM,2459.47,21748.11,1276.39
TAMILNADU,924.91,2054874.43,1513915.19
TELANGANA,923.99,1961255.42,918993.91
TRIPURA,2273.61,124171.08,12497.55
UTTAR PRADESH,886.75,6697390.82,4688501.16
UTTARAKHAND,1537.59,195199.77,105244.48
WEST BENGAL,1737.85,2349666.07,1061772.52
TOTAL,1054.55,40716046.48,24716472.34
