Year,S.No,STATE,DISTRICT,AGR_Tot
2024-25,1,ANDAMAN AND NICOBAR ISLANDS,N & M ANDAMAN,16528.26
2024-25,2,ANDAMAN AND NICOBAR ISLANDS,NICOBAR,11360.78
2024-25,3,ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMAN,10797.72
2024-25,4,ARUNACHAL PRADESH,ANJAW,0
2024-25,5,ARUNACHAL PRADESH,CHANGLANG,30107.52
2024-25,6,ARUNACHAL PRADESH,DIBANG VALLEY,0
2024-25,7,ARUNACHAL PRADESH,EAST KAMENG,17565.95
2024-25,8,ARUNACHAL PRADESH,EAST SIANG,80011.64
2024-25,9,ARUNACHAL PRADESH,KURUNG KUMEY,0
2024-25,10,ARUNACHAL PRADESH,LOHIT,121672
2024-25,11,ARUNACHAL PRADESH,LOWER DIBANG VALLEY,79625.49
2024-25,12,ARUNACHAL PRADESH,LOWER SUBANSIRI,5009.69
2024-25,13,ARUNACHAL PRADESH,PAPUM PARE,10823.98
2024-25,14,ARUNACHAL PRADESH,TAWANG,0
2024-25,15,ARUNACHAL PRADESH,TIRAP,8668.97
2024-25,16,ARUNACHAL PRADESH,UPPER SIANG,0
2024-25,17,ARUNACHAL PRADESH,UPPER SUBANSIRI,2699.78
2024-25,18,ARUNACHAL PRADESH,WEST KAMENG,3352.26
2024-25,19,ARUNACHAL PRADESH,WEST SIANG,6199.6
2024-25,20,ASSAM,BAKSA,137557.89
2024-25,21,ASSAM,BARPETA,90152.41
2024-25,22,ASSAM,BONGAIGAON,50673.88
2024-25,23,ASSAM,CACHAR,55235.1
2024-25,24,ASSAM,CHIRANG,91412.41
2024-25,25,ASSAM,DARRANG,53985.69
2024-25,26,ASSAM,DHEMAJI,103935.72
2024-25,27,ASSAM,DHUBRI,99176.55
2024-25,28,ASSAM,DIBRUGARH,132597.75
2024-25,29,ASSAM,DIMA HASAO,62878.11
2024-25,30,ASSAM,GOALPARA,60922.47
2024-25,31,ASSAM,GOLAGHAT,106034.24
2024-25,32,ASSAM,HAILAKANDI,26388.32
2024-25,33,ASSAM,JORHAT,76732.67
2024-25,34,ASSAM,KAMRUP,87873.41
2024-25,35,ASSAM,KAMRUP (M),16819.92
2024-25,36,ASSAM,KARBI ANGLONG,130546.02
2024-25,37,ASSAM,KARIMGANJ,42275.76
2024-25,38,ASSAM,KOKRAJHAR,160531.22
2024-25,39,ASSAM,LAKHIMPUR,85149.82
2024-25,40,ASSAM,MORIGAON,42340.98
2024-25,41,ASSAM,NAGAON,129096.03
2024-25,42,ASSAM,NALBARI,37595.89
2024-25,43,ASSAM,SIBSAGAR,97133.4
2024-25,44,ASSAM,SONITPUR,153172.07
2024-25,45,ASSAM,TINSUKIA,128858.23
2024-25,46,ASSAM,UDALGURI,53442.29
2024-25,47,BIHAR,ARARIA,154530.67
2024-25,48,BIHAR,ARWAL,21129.94
2024-25,49,BIHAR,AURANGABAD,131132.11
2024-25,50,BIHAR,BANKA,72398.8
2024-25,51,BIHAR,BEGUSARAI,56281.56
2024-25,52,BIHAR,BHAGALPUR,79788.7
2024-25,53,BIHAR,BHOJPUR,89435.37
2024-25,54,BIHAR,BUXAR,64652.31
2024-25,55,BIHAR,DARBHANGA,78109.77
2024-25,56,BIHAR,EAST CHAMPARAN,193736.69
2024-25,57,BIHAR,GAYA,134680.75
2024-25,58,BIHAR,GOPALGANJ,105702.48
2024-25,59,BIHAR,JAMUI,49872.76
2024-25,60,BIHAR,JEHANABAD,34597.11
2024-25,61,BIHAR,KAIMUR,81825.16
