Year,S.No,STATE,DISTRICT,RR_Tot
2024-25,1,ANDAMAN AND NICOBAR ISLANDS,N & M ANDAMAN,3015.7
2024-25,2,ANDAMAN AND NICOBAR ISLANDS,NICOBAR,2805.2
2024-25,3,ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMAN,3015.7
2024-25,4,ARUNACHAL PRADESH,ANJAW,0
2024-25,5,ARUNACHAL PRADESH,CHANGLANG,2222.9
2024-25,6,ARUNACHAL PRADESH,DIBANG VALLEY,0
2024-25,7,ARUNACHAL PRADESH,EAST KAMENG,2026.3
2024-25,8,ARUNACHAL PRADESH,EAST SIANG,4398.6
2024-25,9,ARUNACHAL PRADESH,KURUNG KUMEY,0
2024-25,10,ARUNACHAL PRADESH,LOHIT,2998.2
2024-25,11,ARUNACHAL PRADESH,LOWER DIBANG VALLEY,3996.1
2024-25,12,ARUNACHAL PRADESH,LOWER SUBANSIRI,1444.4
2024-25,13,ARUNACHAL PRADESH,PAPUM PARE,3199.6
2024-25,14,ARUNACHAL PRADESH,TAWANG,0
2024-25,15,ARUNACHAL PRADESH,TIRAP,2907.3
2024-25,16,ARUNACHAL PRADESH,UPPER SIANG,0
2024-25,17,ARUNACHAL PRADESH,UPPER SUBANSIRI,1735.4
2024-25,18,ARUNACHAL PRADESH,WEST KAMENG,2388.7
2024-25,19,ARUNACHAL PRADESH,WEST SIANG,2891.9
2024-25,20,ASSAM,BAKSA,3274.6
2024-25,21,ASSAM,BARPETA,2051.5
2024-25,22,ASSAM,BONGAIGAON,3102.4
2024-25,23,ASSAM,CACHAR,3311.9
2024-25,24,ASSAM,CHIRANG,3218.7
2024-25,25,ASSAM,DARRANG,1951.2
2024-25,26,ASSAM,DHEMAJI,2859.3
2024-25,27,ASSAM,DHUBRI,2752.8
2024-25,28,ASSAM,DIBRUGARH,2649.4
2024-25,29,ASSAM,DIMA HASAO,2791.8
2024-25,30,ASSAM,GOALPARA,2583.2
2024-25,31,ASSAM,GOLAGHAT,1751.7
2024-25,32,ASSAM,HAILAKANDI,2838.3
2024-25,33,ASSAM,JORHAT,2265.3
2024-25,34,ASSAM,KAMRUP,1896.2
2024-25,35,ASSAM,KAMRUP (M),1813.4
2024-25,36,ASSAM,KARBI ANGLONG,1122.2
2024-25,37,ASSAM,KARIMGANJ,3751
2024-25,38,ASSAM,KOKRAJHAR,3102.4
2024-25,39,ASSAM,LAKHIMPUR,3270.3
2024-25,40,ASSAM,MORIGAON,1884.8
2024-25,41,ASSAM,NAGAON,1884.8
2024-25,42,ASSAM,NALBARI,1896.2
2024-25,43,ASSAM,SIBSAGAR,2412.4
2024-25,44,ASSAM,SONITPUR,1978.7
2024-25,45,ASSAM,TINSUKIA,2322.6
2024-25,46,ASSAM,UDALGURI,1957.8
2024-25,47,BIHAR,ARARIA,1632.2
2024-25,48,BIHAR,ARWAL,874.4
2024-25,49,BIHAR,AURANGABAD,974.9
2024-25,50,BIHAR,BANKA,974.9
2024-25,51,BIHAR,BEGUSARAI,1090.7
2024-25,52,BIHAR,BHAGALPUR,1207.9
2024-25,53,BIHAR,BHOJPUR,1051.5
2024-25,54,BIHAR,BUXAR,975.4
2024-25,55,BIHAR,DARBHANGA,1123.6
2024-25,56,BIHAR,EAST CHAMPARAN,1197.7
2024-25,57,BIHAR,GAYA,1003.9
2024-25,58,BIHAR,GOPALGANJ,1135.5
2024-25,59,BIHAR,JAMUI,1107.3
2024-25,60,BIHAR,JEHANABAD,936.6
2024-25,61,BIHAR,KAIMUR,1126.3
2024-25,62,BIHAR,KATIHAR,1342.7
2024-25,63,BIHAR,KHAGARIA,1233.9
2024-25,64,BIHAR,KISHANGANJ,2090.6
2024-25,65,BIHAR,LAKHISARAI,1146.8
2024-25,66,BIHAR,MADHEPURA,1392.7
2024-25,67,BIHAR,MADHUBANI,1293.3
2024-25,68,BIHAR,MUNGER,1146.8
