Year,S.No,STATE,DISTRICT,AER_C,AER_C_NC,AER_PQ,AER_Tot,GWE_DOM_C,GWE_DOM_C_NC,GWE_DOM_PQ,GWE_DOM_Tot,GWE_IND_C,GWE_IND_C_NC,GWE_IND_PQ,GWE_IND_Tot,GWE_IRR_C,GWE_IRR_C_NC,GWE_IRR_PQ,GWE_IRR_Tot,EGWE
2024-25,1,ANDAMAN AND NICOBAR ISLANDS,N & M ANDAMAN,0,14875.42,0,14875.42,,262.063065,,262.063065,,83.24452468,,83.24452468,,0.804,,0.804,346.1115897
2024-25,2,ANDAMAN AND NICOBAR ISLANDS,NICOBAR,0,9911.13,313.56,10224.69,,88.2878425,3.151775,91.4396175,,0.945722795,0,0.945722795,,0.253,0,0.253,92.63834029
2024-25,3,ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMAN,0,9717.96,0,9717.96,,322.8561875,,322.8561875,,13.6100975,,13.6100975,,10.647,,10.647,347.113285
2024-25,4,ARUNACHAL PRADESH,ANJAW,0,0,0,0,,,,0,,,,0,,,,0,0
2024-25,5,ARUNACHAL PRADESH,CHANGLANG,0,27096.75,0,27096.75,,182.8212785,,182.8212785,,0,,0,,64.8,,64.8,247.6212785
2024-25,6,ARUNACHAL PRADESH,DIBANG VALLEY,0,0,0,0,,,,0,,,,0,,,,0,0
2024-25,7,ARUNACHAL PRADESH,EAST KAMENG,0,15809.36,0,15809.36,,14.72256335,,14.72256335,,0,,0,,94.1,,94.1,108.8225634
2024-25,8,ARUNACHAL PRADESH,EAST SIANG,0,71985,0,71985,,64.39847205,,64.39847205,,4.2,,4.2,,110.42,,110.42,179.0184721
2024-25,9,ARUNACHAL PRADESH,KURUNG KUMEY,0,0,0,0,,,,0,,,,0,,,,0,0
2024-25,10,ARUNACHAL PRADESH,LOHIT,0,109376.97,0,109376.97,,230.9697005,,230.9697005,,8.4,,8.4,,34.36,,34.36,273.7297005
2024-25,11,ARUNACHAL PRADESH,LOWER DIBANG VALLEY,0,71662.94,0,71662.94,,31.62099573,,31.62099573,,0,,0,,216.5,,216.5,248.1209957
2024-25,12,ARUNACHAL PRADESH,LOWER SUBANSIRI,0,4485.54,0,4485.54,,22.94919798,,22.94919798,,0,,0,,16.83,,16.83,39.77919798
2024-25,13,ARUNACHAL PRADESH,PAPUM PARE,0,9593.23,0,9593.23,,108.0272287,,108.0272287,,25.29,,25.29,,15.36,,15.36,148.6772287
2024-25,14,ARUNACHAL PRADESH,TAWANG,0,0,0,0,,,,0,,,,0,,,,0,0
2024-25,15,ARUNACHAL PRADESH,TIRAP,0,7802.07,0,7802.07,,49.29362048,,49.29362048,,0,,0,,6.25,,6.25,55.54362048
2024-25,16,ARUNACHAL PRADESH,UPPER SIANG,0,0,0,0,,,,0,,,,0,,,,0,0
2024-25,17,ARUNACHAL PRADESH,UPPER SUBANSIRI,0,2429.81,0,2429.81,,3.73278565,,3.73278565,,0.9,,0.9,,16.64,,16.64,21.27278565
2024-25,18,ARUNACHAL PRADESH,WEST KAMENG,0,3017.04,0,3017.04,,11.52654305,,11.52654305,,0,,0,,1.64,,1.64,13.16654305
2024-25,19,ARUNACHAL PRADESH,WEST SIANG,0,5579.64,0,5579.64,,2.370355625,,2.370355625,,1.18,,1.18,,4.46,,4.46,8.010355625
