YEAR,S.No,STATE,DISTRICT,GWE_Tot
2023-2024,1,ANDAMAN AND NICOBAR ISLANDS,N & M ANDAMAN,272.39
2023-2024,2,ANDAMAN AND NICOBAR ISLANDS,NICOBAR,91.34
2023-2024,3,ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMAN,342.69
2023-2024,4,ANDHRA PRADESH,Alluri Sitharama Raju,2239.02
2023-2024,5,ANDHRA PRADESH,Anakapalli,20967.06
2023-2024,6,ANDHRA PRADESH,Ananthapuramu,40926.43
2023-2024,7,ANDHRA PRADESH,Annamayya,35463.41
2023-2024,8,ANDHRA PRADESH,Bapatla,18457.94
2023-2024,9,ANDHRA PRADESH,Chittoor,50903.85
2023-2024,10,ANDHRA PRADESH,East Godavari,34167.05
2023-2024,11,ANDHRA PRADESH,Eluru,47743.61
2023-2024,12,ANDHRA PRADESH,Guntur,10652.7
2023-2024,13,ANDHRA PRADESH,Kakinada,20121.65
2023-2024,14,ANDHRA PRADESH,Konaseema,10671.82
2023-2024,15,ANDHRA PRADESH,Krishna,47576.84
2023-2024,16,ANDHRA PRADESH,Kurnool,19597.28
2023-2024,17,ANDHRA PRADESH,NTR,23895.84
2023-2024,18,ANDHRA PRADESH,Nandyal,12854.15
2023-2024,19,ANDHRA PRADESH,Palnadu,29621.05
2023-2024,20,ANDHRA PRADESH,Parvathipuram Manyam,21795.33
2023-2024,21,ANDHRA PRADESH,Prakasam,47512.15
2023-2024,22,ANDHRA PRADESH,Sri Potti Sriramulu Nellore,43888.77
2023-2024,23,ANDHRA PRADESH,Sri Sathya Sai,69091.82
2023-2024,24,ANDHRA PRADESH,Srikakulam,44359.44
2023-2024,25,ANDHRA PRADESH,Tirupati,53602.53
2023-2024,26,ANDHRA PRADESH,Visakhapatnam,5382.2
2023-2024,27,ANDHRA PRADESH,Vizianagaram,35808.31
2023-2024,28,ANDHRA PRADESH,West Godavari,5047.09
2023-2024,29,ANDHRA PRADESH,Y.S.R Kadapa,41442.26
2023-2024,30,ARUNACHAL PRADESH,ANJAW,
2023-2024,31,ARUNACHAL PRADESH,CHANGLANG,244.97
2023-2024,32,ARUNACHAL PRADESH,DIBANG VALLEY,
2023-2024,33,ARUNACHAL PRADESH,EAST KAMENG,108.46
2023-2024,34,ARUNACHAL PRADESH,EAST SIANG,178.27
2023-2024,35,ARUNACHAL PRADESH,KURUNG KUMEY,
2023-2024,36,ARUNACHAL PRADESH,LOHIT,270.62
