YEAR,S.No,STATE,DISTRICT,RR_C,RR_C_NC,RR_PQ,RR_Tot,TGA_C,TGA_C_NC,TGA_PQ,TGA_Tot,TGA,TGA_Tot,GWR_RR_C,GWR_RR_C_NC,GWR_RR_PQ,GWR_RR_Tot,GWR_CI_C,GWR_CI_C_NC,GWR_CI_PQ,GWR_CI_Tot,GWR_SWI_IRR_C,GWR_SWI_IRR_C_NC,GWR_SWI_IRR_PQ,GWR_SWI_IRR_Tot,GWR_GWI_IRR_C,GWR_GWI_IRR_C_NC,GWR_GWI_IRR_PQ,GWR_GWI_IRR_Tot,GWR_TP_C,GWR_TP_C_NC,GWR_TP_PQ,GWR_TP_Tot,GWR_WCS_C,GWR_WCS_C_NC,GWR_WCS_PQ,GWR_WCS_Tot,GWR_PL_C,GWR_PL_C_NC,GWR_PL_PQ,GWR_PL_Tot,GWR_SF_C,GWR_SF_C_NC,GWR_SF_PQ,GWR_SF_Tot,GWR_C,GWR_C_NC,GWR_PQ,GWR_Tot,IFO_BF_C,IFO_BF_C_NC,IFO_BF_PQ,IFO_BF_Tot,IFO_SR_C,IFO_SR_C_NC,IFO_SR_PQ,IFO_SR_Tot,IFO_LF_C,IFO_LF_C_NC,IFO_LF_PQ,IFO_LF_Tot,IFO_VF_C,IFO_VF_C_NC,IFO_VF_PQ,IFO_VF_Tot,IFO_EV_C,IFO_EV_C_NC,IFO_EV_PQ,IFO_EV_Tot,IFO_TR_C,IFO_TR_C_NC,IFO_TR_PQ,IFO_TR_Tot,IFO_ET_C,IFO_ET_C_NC,IFO_ET_PQ,IFO_ET_Tot,IFO_C,IFO_C_NC,IFO_PQ,IFO_Tot,AGR_C,AGR_C_NC,AGR_PQ,AGR_Tot,EFR_C,EFR_C_NC,EFR_PQ,EFR_Tot,AER_C,AER_C_NC,AER_PQ,AER_Tot,GWE_DOM_C,GWE_DOM_C_NC,GWE_DOM_PQ,GWE_DOM_Tot,GWE_IND_C,GWE_IND_C_NC,GWE_IND_PQ,GWE_IND_Tot,GWE_IRR_C,GWE_IRR_C_NC,GWE_IRR_PQ,GWE_IRR_Tot,GWE_C,GWE_C_NC,GWE_PQ,GWE_Tot,GWE_C,GWE_C_NC,GWE_PQ,GWE_Tot,DOM_DOM_C,DOM_DOM_C_NC,DOM_DOM_PQ,DOM_DOM_Tot,NAG_C,NAG_C_NC,NAG_PQ,NAG_Tot,QT_MP_C,QT_MP_C_NC,QT_MP_PQ,QT_OP_C,QT_OP_C_NC,QT_OP_PQ,APR_WL,APR_FP,APR_SD,CSA_C,CSA_C_NC,CSA_PQ,CSA_Tot,UCA_FR,UCA_SL,UCA_FR,UCA_SL,CFA_FR,CFA_SL,CFA_FR,CFA_SL,CFA_FR,CFA_SL,CFA_FR,CFA_SL,CFA_FR,CFA_SL,CFA_FR,CFA_SL,TGAH_FR,TGAH_SL
2012-2013,1,WEST BENGAL,ALIPURDUAR,0.0,3665.0,0,3665.0,0,266728,0,266728,0.0,266728.0,0.0,168612.10499999998,,168612.10499999998,,,,,0,2509.38,0,2509.38,0,1432.046,0,1432.046,,,,,,,,,,,,,,,,,0.0,172553.53100000002,0,172553.53100000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,172553.53100000002,0,172553.53100000002,0.0,17255.353000000003,0,17255.353000000003,0.0,155298.178,0,155298.178,0,3424.57089,0.0,3424.57089,0,0,0,0,0,4211.9,0,4211.9,0,7636.472,0,7636.472,0,4.917296582835633,,4.917296582835633,0,4056.0390000000007,,4056.0390000000007,0.0,147030.23799999998,0,147030.23799999998,,,,,,,,0.0,0.0,,,,,0,0,155298.178,0,0,,0,,0,,,,,,,,155298.178,0
2012-2013,2,WEST BENGAL,BANKURA,1379.6121903229664,1369.2193285236465,0,1373.3920013384447,275973,411392,0,687365,0.0,687365.0,42330.906,59985.328,,102316.234,,,,,0,69211.88200000001,0,69211.88200000001,0,23911.996,0,23911.996,,,,,,,,,,,,,,,,,42330.906,153109.20600000003,0,195440.11200000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42330.906,153109.20600000003,0,195440.11200000002,4233.090999999999,12803.764000000001,0,17036.855,38097.815,140305.442,0,178403.257,0,6125.5088399999995,,6125.5088399999995,0,0,0,0,0,70329.40000000002,0,52159.10000000001,0,58284.61,0,58284.61,0,41.54123259167666,,32.67014906572025,0,7164.617999999999,,7164.617999999999,38097.815,81058.79699999999,0,119156.612,,,,,,,,0.0,0.0,,,,,0,0,178403.257,0,0,,0,,0,,,,,,,,178403.257,0
2012-2013,3,WEST BENGAL,BARDDHAMAN,1321.7127674326896,1348.6711801299284,0,1331.961748435731,461518,283079,0,744597,0.0,744597.0,120997.69199999998,67743.04499999998,,188740.73699999996,,,,,0,19789.688000000002,0,19789.688000000002,0,29333.047999999995,0,29333.047999999995,,,,,,,,,,,,,,,,,120997.69199999998,116865.78100000002,0,237863.47300000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120997.69199999998,116865.78100000002,0,237863.47300000006,11546.494,10639.599,0,22186.091000000004,109451.198,106226.18200000002,0,215677.38,0,17682.263669999997,0.0,17682.263669999997,0,0,0,0,0,94059.59999999999,0,94059.59999999999,0,111741.86100000003,0,111741.86100000003,0,105.19239126941417,,51.8097266389271,0,20050.671000000002,,20050.671000000002,109451.198,28287.641000000003,0,137738.839,,,,,,,,0.0,0.0,,,,,0,0,215677.38,0,0,,0,,0,,,,,,,,215677.38,0
2012-2013,4,WEST BENGAL,BIRBHUM,1369.5030053349606,1415.5442514474773,0,1376.8536185984271,381821,72540,0,454361,0.0,454361.0,91611.26999999999,18904.577,,110515.84699999998,,,,,0,3499.94,0,3499.94,0,12305.211999999998,0,12305.211999999998,,,,,,,,,,,,,,,,,91611.26999999999,34709.729,0,126320.999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91611.26999999999,34709.729,0,126320.999,8951.12,2711.6109999999994,0,11662.732,82660.15000000001,31998.118,0,114658.268,0,7917.97566,0.0,7917.97566,0,0,0,0,0,36191.8,0,36191.8,0,44109.77700000001,0,44109.77700000001,0,137.85116049637674,,38.47064653026157,0,8221.744999999999,,8221.744999999999,82660.15,9099.380000000001,0,91759.53,,,,,,,,0.0,0.0,,,,,0,0,114658.268,0,0,,0,,0,,,,,,,,114658.268,0
2012-2013,5,WEST BENGAL,DAKSHIN DINAJPUR,0.0,1609.249851165353,0,1609.249851165353,0,225082,0,225082,0.0,225082.0,0.0,59998.32599999999,,59998.32599999999,,,,,0,100.15,0,100.15,0,17240.039999999997,0,17240.039999999997,,,,,,,,,,,,,,,,,0.0,77338.517,0,77338.517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,77338.517,0,77338.517,0.0,7733.851999999999,0,7733.851999999999,0.0,69604.66500000001,0,69604.66500000001,0,3741.01713,0.0,3741.01713,0,0,0,0,0,50706.0,0,50706.0,0,54447.015,0,54447.015,0,78.22322684837287,,78.22322684837287,0,4303.3240000000005,,4303.3240000000005,0.0,14996.232,0,14996.232,,,,,,,,0.0,0.0,,,,,0,0,69604.66500000001,0,0,,0,,0,,,,,,,,69604.66500000001,0
2012-2013,6,WEST BENGAL,DARJILING,0.0,2983.447986932831,0,2983.447986932831,0,80201,0,80201,272416.9747,352617.9747,0.0,39727.632,,39727.632,,,,,0,5059.576999999999,0,5059.576999999999,0,397.494,0,397.494,,,,,,,,,,,,,,,,,0.0,45184.702000000005,0,45184.702000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,45184.702000000005,0,45184.702000000005,0.0,4355.415999999999,0,4355.415999999999,0.0,40829.28600000001,0,40829.28600000001,0,2111.50164,0.0,2111.50164,0,0,0,0,0,1169.1,0,1169.1,0,3280.602,0,3280.602,0,8.034923755463172,,8.034923755463172,0,2390.486,,2390.486,0.0,37874.389,0,37874.389,,,,,,,,0.0,0.0,,,,,0,0,40829.28600000001,0,0,,0,,0,,,,,,,,40829.28600000001,0
2012-2013,7,WEST BENGAL,HAORA,1578.328121571209,1568.4019797613505,0,1571.4665232634948,18228,40813,0,59041,70308.0,129349.0,5881.813,14162.148,,20043.961,,,,,0,3476.8710000000005,0,3476.8710000000005,0,1689.8000000000002,0,1689.8000000000002,,,,,,,,,,,,,,,,,5881.813,19328.819000000003,0,25210.632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5881.813,19328.819000000003,0,25210.632,588.182,1747.8270000000002,0,2336.008,5293.630999999999,17580.992000000002,0,22874.623000000003,0,11626.60926,0.0,11626.60926,0,0,0,0,0,4970.0,0,4970.0,0,16596.610000000004,0,16596.610000000004,0,94.4008733978151,,72.55468210339467,0,14108.463,,14108.463,5293.631,3941.161,0,9234.792000000001,,,,,,,,0.0,0.0,,,,,0,0,22874.623000000003,0,0,,0,,0,,,,,,,,22874.623000000003,0
2012-2013,8,WEST BENGAL,HUGLI,1432.9344008264463,1463.1068664073632,0,1445.4200729868846,183920,129835,0,313755,0.0,313755.0,55122.639,40613.28399999999,,95735.92300000002,,,,,0,1716.2200000000003,0,1716.2200000000003,0,18564.612,0,18564.612,,,,,,,,,,,,,,,,,55122.639,60894.115999999995,0,116016.75499999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55122.639,60894.115999999995,0,116016.75499999998,5512.264,5978.044999999999,0,11490.310000000001,49610.375,54916.070999999996,0,104526.446,0,12319.111350000001,0.0,12319.111350000001,0,0,0,0,0,54601.8,0,54601.8,0,66920.912,0,66920.912,0,121.8603421209795,,64.0229478384829,0,13773.538000000002,,13773.538000000002,49610.375,6336.494,0,55946.869,,,,,,,,0.0,0.0,,,,,0,0,104526.446,0,0,,0,,0,,,,,,,,104526.446,0
2012-2013,9,WEST BENGAL,JALPAIGURI,0.0,3665.0,0,3665.0,0,339631,0,339631,0.0,339631.0,0.0,214697.73699999996,,214697.73699999996,,,,,0,6806.201999999999,0,6806.201999999999,0,1369.962,0,1369.962,,,,,,,,,,,,,,,,,0.0,222873.901,0,222873.901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,222873.901,0,222873.901,0.0,22287.39,0,22287.39,0.0,200586.511,0,200586.511,0,5283.403469999999,0.0,5283.403469999999,0,0,0,0,0,4029.3,0,4029.3,0,9312.705,0,9312.705,0,4.6427374171735805,,4.6427374171735805,0,6257.629,,6257.629,0.0,190299.581,0,190299.581,,,,,,,,0.0,0.0,,,,,0,0,200586.511,0,0,,0,,0,,,,,,,,200586.511,0
2012-2013,10,WEST BENGAL,KOCH BIHAR,0.0,3414.0,0,3414.0,0,338843,0,338843,0.0,338843.0,0.0,197189.68299999996,,197189.68299999996,,,,,0,38.33,0,38.33,0,14368.909999999998,0,14368.909999999998,,,,,,,,,,,,,,,,,0.0,211596.92499999996,0,211596.92499999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,211596.92499999996,0,211596.92499999996,0.0,21159.696000000004,0,21159.696000000004,0.0,190437.22900000002,0,190437.22900000002,0,6353.24475,0.0,6353.24475,0,0,0,0,0,42261.5,0,42261.5,0,48614.746,0,48614.746,0,25.527963337462754,,25.527963337462754,0,7532.21,,7532.21,0.0,140643.51799999998,0,140643.51799999998,,,,,,,,,,,,,,0,0,190437.22900000002,0,0,,0,,0,,,,,,,,190437.22900000002,0
